model,min,T,A
TL_M,0,68,1.6
TL_M,5,72,1.6
TL_M,5,76,1.6
TL_M,5,83,1.6
TL_M,5,137,1.6
TL_M,5,136,1.6
TL_M,5,142,1.6
TL_M,5,130,1.6
TL_M,5,109,1.6
TL_M,5,120,1.6
TL_M,5,127,1.6
TL_M,5,118,1.6
TL_M,5,113,1.6
TL_M,5,109,1.6
TL_M,5,115,1.6
TL_M,5,115,1.6
TL_M,5,129,1.6
TL_M,5,118,1.6
TL_M,5,115,1.6
TL_M,5,125,1.6
TL_M,5,117,1.6
T_20,3,77,1.6
T_20,5,93,1.6
T_20,1,100,1.6
T_20,9,110,1.6
T_20,5,119,1.6
T_20,5,126,1.6
T_20,5,132,1.6
T_20,5,138,1.6
T_20,5,143,1.6
T_20,5,147,1.6
T_20,5,150,1.6
T_20,5,153,1.6
T_20,5,156,1.6
T_20,5,157,1.6
T_20,5,157,1.6
T_21,0,56,1.6
T_21,10,116,1.6
T_21,1,129,1.6
T_21,2,137,1.6
T_21,1,140,1.6
T_21,1,143,1.6
T_21,1,148,1.6
T_21,1,150,1.6
T_21,2,155,1.6
T_21,1,158,1.6
T_21,1,161,1.6
T_21,1,161,1.6
T_21,1,165,1.6
T_21,1,167,1.6
T_21,1,170,1.6
T_21,1,171,1.6
T_21,1,173,1.6
T_21,1,175,1.6
T_21,23,200,1.6
T_21,1,200,1.6
T_21,1,200,1.6
T_21,2,200,1.6
T_21,1,201,1.6
T_21,3,202,1.6
T_21,3,200,1.6
T_21,3,200,1.6
T_23,1,19,1.6
T_23,81,80,1.6
T_23,1,83,1.6
T_23,2,92,1.6
T_23,1,96,1.6
T_23,1,98,1.6
T_23,2,102,1.6
T_23,1,103,1.6
T_23,4,125,1.6
T_23,1,125,1.6
T_23,12,125,1.6
T_23,20,73,1.6
T_23,4,76,1.6
T_23,2,79,1.6
T_23,1,80,1.6
T_23,4,82,1.6
T_23,3,92,1.6
T_23,2,96,1.6
T_23,2,99,1.6
T_23,3,103,1.6
T_23,3,104,1.6
T_23,3,106,1.6
T_23,6,109,1.6
T_23,1,110,1.6
T_23,5,103,1.6
T_23,3,93,1.6
T_23,2,83,1.6
T_23,4,73,1.6
T_23,10,72,1.6
A_T1_C,0,25.76,0.0345
A_T1_C,0.03,25.88,0.0345
A_T1_C,0.02,26,0.0345
A_T1_C,0.02,26.1,0.0345
A_T1_C,0.03,26.2,0.0345
A_T1_C,0.02,26.3,0.0345
A_T1_C,0.01,26.39,0.0345
A_T1_C,0.04,26.49,0.0345
A_T1_C,0.01,26.59,0.0345
A_T1_C,0.04,26.67,0.0345
A_T1_C,0.01,26.75,0.0345
A_T1_C,0.02,26.84,0.0345
A_T1_C,0.03,26.94,0.0345
A_T1_C,0.02,27.01,0.0345
A_T1_C,0.03,27.08,0.0345
A_T1_C,0.02,27.16,0.0345
A_T1_C,0.02,27.23,0.0345
A_T1_C,0.03,27.3,0.0345
